time_s,centroid_error_m,pointing_error_deg,axis_error_deg,edge_rms_m,edge_max_m,minimum_separation_m,planarity_m,snr_dB,coherent_loss_dB,fixed_plane_snr_dB
0,0.206155281280883,12.1787943765179,12.1787943765179,2.22044604925031e-16,2.22044604925031e-16,1.3856406460551,8.1710202181505e-17,91.5943432560983,0.51630156692035,92.1083891929407
0.02,0.206148643437373,12.1771791327578,12.1771791327578,1.45087310250385e-05,2.16153445058431e-05,1.3856190307106,3.53270803203849e-16,91.594490877816,0.516145405270178,92.1083806211508
0.04,0.206110122457628,12.1679873463661,12.1679873463661,9.55546674911653e-05,0.000142158417618221,1.38549848763748,1.6342040436301e-16,91.5953288198633,0.515259240899975,92.1083322773891
0.06,0.206020362084908,12.1477524876133,12.1477524876133,0.000267301820751436,0.000397255334761093,1.38524339072034,2.95914877633427e-16,91.5971610431388,0.513320598586295,92.1082258330125
0.08,0.205862673270534,12.1152210022697,12.1152210022697,0.000527108328540683,0.000782745578707722,1.38485790047639,2.56895308302175e-16,91.6000733810949,0.510235063939223,92.1080531695571
0.1,0.205619039681359,12.0701048613699,12.0701048613699,0.000857668022165107,0.00127278151348498,1.38436786454162,1.34072167684476e-16,91.6040494021892,0.506014242639195,92.1078101422066
0.12,0.205270141535401,12.0125171685984,12.0125171685984,0.00123427142914014,0.00183059629580451,1.3838100497593,3.92523114670944e-17,91.6090269148644,0.5007170396169,92.1074942766806
0.14,0.204796786904202,11.9427236200639,11.9427236200639,0.00162966094902506,0.00241574168742131,1.38322490436768,2.80317572997126e-16,91.6149261345374,0.4944207727133,92.1071039518386
0.16,0.204181580139943,11.8610442307096,11.8610442307096,0.00201736609627907,0.00298909054694296,1.38265155550816,1.61046131851761e-16,91.6216634283513,0.487207288851864,92.1066381708438
0.18,0.203410306842921,11.7678274782784,11.7678274782784,0.00237385648770026,0.0035160557247913,1.38212459033031,8.1710202181505e-17,91.6291572691076,0.479157106206395,92.1060965886933
0.2,0.202472821672458,11.6634562386449,11.6634562386449,0.00267973845755203,0.00396833367838711,1.38167231237671,1.50324908162764e-16,91.6373300289766,0.470347783529135,92.1054796329115
0.22,0.201363399870779,11.5483628449093,11.5483628449093,0.00292022978271603,0.00432452261354177,1.38131612344156,1.44222201478767e-16,91.6461078205059,0.460854205802887,92.1047886126424
0.24,0.200080624047187,11.4230414817609,11.4230414817609,0.00308514815160591,0.00456998242343643,1.38107066363167,2.3605841026662e-16,91.655419701133,0.450749415714174,92.1040257566015
0.26,0.198626937476319,11.2880534015029,11.2880534015029,0.00316861709564672,0.00469625720409383,1.38094438885101,1.11022302462516e-16,91.6651969178052,0.440105305004289,92.1031941640873
0.28,0.197008009612289,11.1440248676722,11.1440248676722,0.0031686432930202,0.00470029803622962,1.38094034801887,1.61046131851761e-16,91.6753724410219,0.428992938439664,92.1022976851995
0.3,0.195232041019716,10.991639785585,10.991639785585,0.00308667209918026,0.00458363843363152,1.38105700762147,1.25156822484232e-16,91.6858808015951,0.417482532207817,92.1013407608399
0.32,0.193309099461393,10.8316293938519,10.8316293938519,0.00292719806697549,0.00435160659457123,1.38128903946053,1.34072167684476e-16,91.6966581495443,0.405643200540888,92.1003282527341
0.34,0.191250540431519,10.6647609412277,10.6647609412277,0.00269750525545699,0.00401261178472745,1.38162803427037,1.32142971168015e-16,91.7076424433097,0.393542585863699,92.0992652853185
0.36,0.18906853294034,10.4918265562626,10.4918265562626,0.00240766039343228,0.0035775136466063,1.3820631324085,1.1331166295921e-16,91.7187737005443,0.381246453444225,92.0981571110881
